Colorado_Springs,Maryland_Baltimore,NewMexico_Roswell,LosAngeles
35.2,46.2,48.6,58.9
48.4,53.1,56.8,63.1
55.9,64.9,66.9,64.2
65.1,74.4,75.3,64.7
70.6,80,79.7,66.3
66.1,76.1,78.2,67.7
60,69.3,70.1,69.6
50.4,51.5,63.3,69
39.2,47.8,48.5,61.8
29,39.8,38.8,53.9
24.3,28.7,37,56.7
31.7,35.8,44,60.6
36.2,45,50.8,62.5
48.1,52,59.2,61.2
56.3,64,67.7,63
68.7,73,76.6,63.6
70.6,80.3,77.7,69.1
70.4,78.5,77.1,68.3
60.7,66.8,70.5,67.7
53,51.3,62.3,66.1
39.2,48.1,51.7,60.1
29.2,36.3,39,56.5
32.7,37.8,41.4,55.4
21.8,36.4,42.2,54.8
43.7,43.8,54.9,58.9
49,52.5,63.9,64.7
57.6,62,72.6,62.4
62.1,73.9,76.8,65.1
71.8,76,80,69.4
68.4,74.4,77.9,67.6
60.9,68.9,70.1,68.2
49.7,58.2,61.6,65.8
41.5,44.8,49.7,65.1
27.2,25.3,35.6,60.5
33.5,42,40.8,57.1
31.7,42.2,45.3,55
38.8,47.6,51.4,57.5
47.1,54.8,61.1,62.5
53.8,62.3,68.9,62.7
69.5,73.3,83.4,67.5
67.9,78.4,78.3,71.4
67.9,74.6,76.1,69.6
64.5,67.3,73,71
49.5,60.7,61.5,69.5
42.7,49.6,50.9,64.1
24.2,42.2,40.1,56.8
27.9,35.5,38.2,57.2
38,40.7,47.9,59.8
39.8,46.6,53.6,54.9
45.8,55.9,62.5,61
58,70.5,72.5,60.3
67,74.6,78.2,63.9
69.4,79.5,77.5,67
68.1,77.7,77.2,68.9
60.5,69,66.9,67.8
50.2,57.8,60.6,67.3
33,45.8,45.3,63.4
31,38.7,40.4,58.7
32.6,34.5,37.2,58.4
37.5,37.1,46.1,60.8
41.6,41.3,53.1,59.2
52.1,52,61.6,65.6
57.8,60.8,65.9,66.1
62.5,70.1,74.2,65.9
68.3,77.4,79.5,71.5
66.5,72.3,77.8,72.9
62.8,67.7,73.1,70.7
52.3,54.3,63.3,67
31.8,47.1,44.8,63.6
29.2,38.9,39.9,55.8
26.7,37.8,41.1,56.2
29.4,31.4,44.4,57
39.8,39.4,52.7,60.5
46.1,52.5,61.2,62.7
55.6,65,69,65.1
64.9,72.2,78.8,68.2
70.7,80.1,81.9,69.5
67.3,76.6,78.6,69.4
58,68.8,71.2,69
47.9,55.5,58.2,68.4
32.3,46.4,44.3,63.6
32.3,36.2,41.1,58.4
31.5,27,40.1,59.1
31.6,34,43.7,57
40.6,42.9,52.9,60.7
45.5,59.6,60.4,60.2
57.7,60.6,69,62
69,77.2,82.5,68.3
69.8,80.1,82.6,67.8
70.2,74.1,81.1,74.7
62.6,68.1,72.6,70.6
49.1,56.8,61.3,66.8
37.4,51.9,50,57.9
33.6,42.6,44.9,57.5
31.4,39,41,56.8
35.8,33.1,49.9,61.6
38.8,47.8,52.7,60.1
41.3,55.1,58.3,60.5
49.4,64.5,69,60.3
60.6,74.6,76.3,64.3
67.4,81.5,81.3,68.2
71.9,80.1,80.7,68.9
59,70.4,71.9,70.7
48.9,61,61.7,67.3
41.4,42.6,52.2,62.8
